scenario,time,capability_frontier_ratio,output_per_person_growth,wage_growth,net_interest,labor_income_share,ai_services_counterfactual_ratio,output_counterfactual_ratio,wage_counterfactual_ratio,consumption_counterfactual_ratio
"Monopoly, chi = 7.5",27.75,0.969507072219424,0.007943068977441556,0.008213344803468752,0.04673477210996885,0.05125777314829533,0.034494597085831365,0.05240841413550694,0.15268936713201206,0.24380747492310334
"Monopoly, chi = 7.5",27.875,0.9696535578424531,0.00796633891871409,0.008231391819703785,0.046765275493084985,0.05125948814913789,0.034211819204657434,0.05197483486116902,0.1518310131229935,0.24177411259064546
"Monopoly, chi = 7.5",28.0,0.9697992264502546,0.007989485413742062,0.008249339818018613,0.04679560238407253,0.0512611698180573,0.03393164670821711,0.05154530697242613,0.1509784631848401,0.2397600324688426
"Monopoly, chi = 7.5",28.125,0.9699440833645522,0.008012509051063384,0.008267189319942173,0.046825753839874876,0.05126281830954789,0.03365405240623784,0.05111978734101033,0.1501316694805167,0.23776502462321575
"Monopoly, chi = 7.5",28.25,0.9700881338645744,0.00803541041777302,0.008284940844825839,0.04685573090920439,0.05126443377602135,0.03337900943211347,0.05069823336512595,0.14929058465565986,0.2357888817561515
"Monopoly, chi = 7.5",28.375,0.9702313831890024,0.008058190098972615,0.008302594909513863,0.04688553463357331,0.05126601636917321,0.03310649123669871,0.05028060295940737,0.14845516182722365,0.23383139915774068
"Monopoly, chi = 7.5",28.5,0.970373836538417,0.008080848676982472,0.008320152027861918,0.046915166048678625,0.05126756624185745,0.03283647157890528,0.04986685454009818,0.14762535456232367,0.23189237463859524
"Monopoly, chi = 7.5",28.625,0.9705154990720807,0.008103386732648123,0.008337612711567079,0.046944626182183924,0.051269083544885755,0.03256892452954016,0.0494569470300042,0.1468011168967927,0.22997160854086854
"Monopoly, chi = 7.5",28.75,0.9706563759114644,0.008125804844171827,0.00835497746944897,0.04697391605579308,0.05127056842987821,0.0323038244605114,0.0490508398416435,0.1459824033095913,0.22806890366303742
"Monopoly, chi = 7.5",28.875,0.9707964721391104,0.008148103587635819,0.008372246807788348,0.04700303668436033,0.05127202104793282,0.03204114604378136,0.04864849287493611,0.14516916872644986,0.22618406524262438
"Monopoly, chi = 7.5",29.0,0.9709357927982022,0.008170283537311258,0.00838942123053401,0.047031989075437305,0.05127344154890353,0.03178086424939832,0.04824986651354334,0.144361368520725,0.22431690093346238
"Monopoly, chi = 7.5",29.125,0.9710743428955059,0.008192345264658042,0.008406501238686331,0.04706077423100517,0.051274830083793646,0.03152295433576621,0.047854921609647084,0.14355895849052028,0.22246722073755681
"Monopoly, chi = 7.5",29.25,0.9712121273984013,0.008214289339566354,0.008423487331087783,0.04708939314538314,0.05127618680170816,0.03126739185320728,0.04746361948855733,0.14276189487615576,0.22063483701543038
"Monopoly, chi = 7.5",29.375,0.9713491512377507,0.008236116329410278,0.008440380003841402,0.04711784680692681,0.051277511852190774,0.031014152634418223,0.04707592193379469,0.14197013433761752,0.21881956441943703
"Monopoly, chi = 7.5",29.5,0.9714854193075935,0.008257826799258006,0.008457179750452674,0.04714613619766751,0.05127880538464961,0.030763212792572103,0.04669179118359367,0.14118363395517788,0.2170212198722748
